post_id,cuenta,fecha,me_gusta,comentarios,visualizaciones,link,descripcion,archivo_origen,prob_obstruccion_parental,prob_pension_alimentos,etiqueta
falsas_denuncias_chile_01088,falsas_denuncias_chile,2022-01-13T18:19:26.000Z,46.0,0.0,,https://www.instagram.com/falsas_denuncias_chile/p/CYrDM3hLMlu/,"Para todos los padres y madres que sufren esta patología por el hecho de estar impedidos de ver a sus hijos.

Este 13 de enero es el Día Mundial de la Lucha contra la Depresión.

Desde el Colegio Médico indicaron que, las personas que creen tener depresión, deben buscar ayuda profesional, hablar del tema con personas de confianza, evitar la ingesta de alcohol y otro tipo de drogas, mantener contacto con amigos y familiares, tratar de seguir con hábitos regulares de alimentación y sueño y aceptar que en caso de tener depresión, esto ocurrirá por un periodo de tiempo y que un tratamiento ayudará a superarlo.

#depresiones #depresión #diamundialdeladepresion #saludmental #saludmentalyemocional",instagram_falsas_denuncias_chile.csv,0.999867618083954,0.0002420384553261,obstruccion_parental
fundacion_crianza_compartida_01942,fundacion_crianza_compartida,2024-08-06T11:44:57.000Z,169.0,40.0,,https://www.instagram.com/fundacion_crianza_compartida/reel/C-U8DE3RYfa/,"@rafa_cavada informa que @fiorella_choca madre de sus hijos y ex pareja le hizo una falsa denuncia por violencia intrafamiliar para impedir que pueda regular el régimen comunicacional con sus hijos, esto después de que ella se negara a la crianza compartida y el periodista procediera con una demanda por relación directa y regular. 

Las falsas denuncias se usan para obstaculizar el vínculo de los hijos con sus padres o madres no convivientes. 

Intégrese a la comunidad de la crianza compartida 🥰 Necesitamos familias enteras comprometidas contra la obstrucción de vínculos

#rafacavada #obstrucciónparental #falsasdenuncias #crianzacompartida",instagram_fundacion_crianza_compartida.csv,0.9998528957366944,0.0078767063096165,obstruccion_parental
fundacion_crianza_compartida_01911,fundacion_crianza_compartida,2024-08-26T18:40:30.000Z,20.0,2.0,,https://www.instagram.com/fundacion_crianza_compartida/reel/C_JLJ_eRLhU/,"Escucha la entrevista que hizo @citri_nitas en @adnchile sobre la obra de teatro Invicta: una obra sobre la obstrucción de vínculos. 

Recuerden que este sábado es la última función de esta temporada . Pueden adquirir o reservar sus entradas en la página @salarubedo o @citri_nitas .

Apoyar la obra Invicta es un acto de resistencia contra un sistema que niega las problemáticas de las Interferencias parentales . 

Difundir la idea de la crianza compartida no solo implica hablar de ambos padres juntos o separados criando de forma armoniosa a sus hijos sino también de los obstáculos que se presentan en la realización de la Idea de la Crianza Compartida. 

Recuerden que este sábado a las 20 horas es la última función de la obra #invicta en sala rubedo ubicada en avenida Independencia #1993 cerca del Metro Plaza Chacabuco, comuna de Independencia .

#obstrucciónparental #impedimentodevinculos #falsasdenuncias #crianzacompartida",instagram_fundacion_crianza_compartida.csv,0.999829351902008,0.0424038283526897,obstruccion_parental
fundacion_crianza_compartida_01564,fundacion_crianza_compartida,2025-05-03T23:08:50.000Z,116.0,7.0,,https://www.instagram.com/fundacion_crianza_compartida/reel/DJNYu_0y_P4/,"Carolina Valenzuela ( @ps_perito_caroval ) presidenta de Fundacion Crianza Compartida Chile habla sobre los obstáculos para la crianza compartida y la paternidad activa en el sistema judicial. 

La #LeyCrianzaCompartida busca que hijos e hijas de padres separados convivan el mismo tiempo con su mamá o papá, o que las decisiones respecto a ellos sean tomadas por igual. 🏡

Por una crianza colaborativa, coparticipativa y corresponsable.

¿Te sumas a esta iniciativa? Firma en el enlace de nuestra biografía ✍️⬇️

#LeyCrianzaCompartida
https://chng.it/G5FmrLCmkR",instagram_fundacion_crianza_compartida.csv,0.9998197555541992,0.0375556498765945,obstruccion_parental
fundacion_crianza_compartida_01705,fundacion_crianza_compartida,2024-12-24T22:35:22.000Z,43.0,5.0,,https://www.instagram.com/fundacion_crianza_compartida/reel/DD-mFjCxL75/,"Por una navidad con los hijos-nietos .

Nuestros sinceros saludos y buenos deseos a toda la comunidad de la crianza compartida. 

#navidad2024 #feliznavidad #impedimentodevinculos #falsasdenuncias #obstrucciónparental #crianzacompartida #regalosdenavidad",instagram_fundacion_crianza_compartida.csv,0.9998050928115844,0.0001726515474729,obstruccion_parental
fundacion_crianza_compartida_01848,fundacion_crianza_compartida,2024-10-02T00:27:12.000Z,124.0,3.0,,https://www.instagram.com/fundacion_crianza_compartida/p/DAmgMoURzC0/,"En la comunidad de la crianza compartida hablamos de aquellos padres/madres , en ocasiones abuelos /as cuidadores , familia en general , que tienen contacto diario con sus hijos , nietos . 

Padres que están en pareja y requieren terapia de coparentalidad o familias cuidadoras sobrepasadas con conductas disruptivas en sus hijos. Este es uno de los registros o niveles de la crianza compartida. 

Pero también hablamos de ustedes , de sus dolores y necesidades , de sus historias y narrativas de ausencia e impedimentos , de los obstáculos de la crianza compartida. 

#obstrucciónparental #impedimentodevinculos #falsasdenuncias #madrastras #madresseparadas #Alienaciónparental #padresprimerizos #interferenciasparentales",instagram_fundacion_crianza_compartida.csv,0.9998031854629515,0.0001609308528713,obstruccion_parental
fundacion_crianza_compartida_01870,fundacion_crianza_compartida,2024-09-21T13:47:35.000Z,46.0,2.0,,https://www.instagram.com/fundacion_crianza_compartida/reel/DAKG3qLxW3Z/,"En el conversarorio sobre falsas denuncias tuvimos el relato de Alex un padre que luego de 02 años de vivir una falsa denuncia pudo reencontrarse con su hija. 

El camino ha sido difícil pero aún sigue luchando por defender el vínculo con su niña pese a los obstáculos de la madre y el mismo sistema judicial. 

Esta es una parte de la intervención de Alex en el conversatorio-taller que se hizo en la Fundación en el contexto del Día Internacional contra las falsas denuncias. 

#falseaccusations #falselyacussedday #falsasacusaciones #falsasdenuncias",instagram_fundacion_crianza_compartida.csv,0.9998020529747008,0.0002341358340345,obstruccion_parental
padres_con_derechochile_02779,padres_con_derechochile,2023-08-18T08:30:38.000Z,13.0,0.0,,https://www.instagram.com/padres_con_derechochile/reel/CwFEwQdIf4I/,una abuelita dando una gran lucha por ver a sus nietas . padres desvinculados injustamente . Es tiempo de decir basta.  No seas uno más .. únete es tiempo de recuperar a nuestros hijos #nomáshijosrehenes #noseasunomas #padresenlucha #nomasdenunciasfalsas #nomashijosrehenes #nomashijoshuerfanosdepadresvivos  #nomashijossufriendo #tribunalesdefamilia,instagram_padres_con_derechochile.csv,0.999800443649292,0.2762998342514038,obstruccion_parental
falsas_denuncias_chile_00829,falsas_denuncias_chile,2022-08-15T02:22:36.000Z,52.0,11.0,,https://www.instagram.com/falsas_denuncias_chile/reel/ChQ2HJdjxOc/,"Esta situación de obstrucción de los padres, lamentablemente  constituye una forma de maltrato infantil que va contra el interés superior de los niños y adolescentes (art. 9.3 de la Convención de los Derechos del Niño).

Dejen sus comentarios!!",instagram_falsas_denuncias_chile.csv,0.9997829794883728,0.0100135710090398,obstruccion_parental
hombresmaltratadoschile_02018,hombresmaltratadoschile,2025-06-15T12:00:05.000Z,57.0,2.0,,https://www.instagram.com/hombresmaltratadoschile/p/DK67GHixG_d/,"“En el Día del Padre, recordamos a aquellos hombres que, a pesar de las adversidades, siguen luchando por mantener su vínculo con sus hijos. A los padres que enfrentan obstáculos injustos, como falsas denuncias o distanciamiento forzado, les dedicamos un mensaje especial: no están solos. Su amor y dedicación no se miden por la distancia física, sino por la fuerza de su corazón. 

#DíaDelPadre #PadresValientes #AmorSinFronteras”",instagram_hombresmaltratadoschile.csv,0.9997800588607788,0.0005223550251685,obstruccion_parental
