post_id,cuenta,fecha,me_gusta,comentarios,visualizaciones,link,descripcion,archivo_origen,prob_emotion_others,prob_emotion_joy,prob_emotion_sadness,prob_emotion_anger,prob_emotion_surprise,prob_emotion_disgust,prob_emotion_fear,emotion_etiqueta,prob_hate_speech_hateful,prob_hate_speech_targeted,prob_hate_speech_aggressive,hate_speech_etiquetas,prob_irony_not_ironic,prob_irony_ironic,irony_etiqueta
abogadachilena_00000,abogadachilena,2025-09-05T13:18:51.000Z,178.0,27.0,,https://www.instagram.com/abogadachilena/reel/DOOMNuMjvDX/,"Ayer le pregunté a una Ministra de la Corte Suprema, sobre las denuncias falsas, en este video, verás su respuesta.

Hoy es el segundo día de seminario, y tengo frente a mí a jueces de familia y ministros de Corte ⚖️
¿Qué les preguntarías si pudieras hablarles sin filtros? 👀🔥
Déjame tu consulta en los comentarios y las llevo directo al panel.

¿Estamos listos para hablar de verdades incómodas? 👀⚖️ 
#VerdadesIncómodas #DenunciasFalsas #CorteSuprema #JusticiaEnChile #AbogadaChilena",instagram_abogadachilena.csv,0.9882614016532898,0.0004658089601434767,0.001244144863449037,0.0036592166870832443,0.004423689097166061,0.0006237913621589541,0.0013219971442595124,others,0.1534409523010254,0.01647259294986725,0.046120334416627884,ninguna,0.9873056411743164,0.012694385834038258,not ironic
abogadachilena_00001,abogadachilena,2025-10-01T22:07:45.000Z,3577.0,435.0,,https://www.instagram.com/abogadachilena/reel/DPSEVRnjgLa/,"#LeyTocornal: 9 Años de Injusticia ⚖️
💔 Murió con la condena vigente, aunque la verdad ya se sabía.
🚫 Las denuncias falsas destruyen vidas y debilitan a las verdaderas víctimas. 📢 Por eso Chile exige:
#LeyTocornal 🧨
👉 Para sancionar con fuerza la denuncia falsa.
👉 Y proteger a los inocentes y a las víctimas reales.

#LeyTocornal #FalsasDenuncias #VerdadesIncómodas #abogadachilena #obstrucciónparental #pensióndealimentos #alienaciónparental #justiciachile",instagram_abogadachilena.csv,0.006529027596116066,0.000833930098451674,0.03269994631409645,0.8498967885971069,0.000380243785912171,0.10865546017885208,0.0010045134695246816,anger,0.0841323658823967,0.020406223833560944,0.06879660487174988,ninguna,0.9961525797843933,0.003847358049824834,not ironic
abogadachilena_00002,abogadachilena,2025-07-30T17:30:10.000Z,3437.0,394.0,,https://www.instagram.com/abogadachilena/reel/DMvXmP6Obri/,"La obstrucción del régimen comunicacional o de visitas, es una deuda pendiente con los papás de Chile🇨🇱🇨🇱🇨🇱🇨🇱🇨🇱 #verdadesincómodas #abogadachilena #obstrucciónparental #alienaciónparental #justiciaparatodos #denunciasfalsas #crianzarespetuosa #alienaciónparental",instagram_abogadachilena.csv,0.09203840047121048,0.001256437273696065,0.01161037478595972,0.8260763883590698,0.005201047286391258,0.060219477862119675,0.003598045324906707,anger,0.27257463335990906,0.021784164011478424,0.1487627774477005,ninguna,0.9984109401702881,0.0015890124486759305,not ironic
abogadachilena_00003,abogadachilena,2025-12-25T14:11:11.000Z,59.0,12.0,,https://www.instagram.com/abogadachilena/p/DSsHanLjmeL/,"Respeto para los padres que cumplen con el pago de la pensión de alimentos,
incluso cuando la interferencia les impide ver a sus hijos en Navidad. 🎄💔

#CrianzaCompartida
#ResponsabilidadParental
#DerechoAlVínculo
#VerdadesIncómodas
#NavidadConSentido 🎄",instagram_abogadachilena.csv,0.6193792819976807,0.005215462297201157,0.04065588861703873,0.32045918703079224,0.0016860502073541284,0.011373535729944706,0.001230583875440061,others,0.03310651704668999,0.007401391863822937,0.020602142438292503,ninguna,0.9979154467582703,0.0020845842082053423,not ironic
abogadachilena_00004,abogadachilena,2025-12-09T12:42:38.000Z,147.0,42.0,,https://www.instagram.com/abogadachilena/reel/DSCwaS8jqjV/,"El caso de Jorge Tocornal es una herida abierta en la justicia chilena.
Un padre condenado a 10 años de cárcel, por un delito que no cometió.

¿Qué falló?
Fallaron los peritos. Falló el sistema.
Esto es obstrucción parental: manipulación emocional, presión e influencia directa en la declaración de un niño.

Cuando un niño es usado como arma en un conflicto adulto, se destruyen vidas enteras: la del padre, la del hijo y la verdad.

¿El resultado?
Un hombre preso y muerto sin justicia.
Un hijo alejado de su padre.
Y un sistema que aún se niega a revisar su propio error. 

#jorgetocornal 
#CasoTocornal #ObstrucciónParental #alienaciónparental #leyTocornal",instagram_abogadachilena.csv,0.006284291855990887,0.0007731621153652668,0.06723085045814514,0.8163397312164307,0.0009051007218658924,0.10674990713596344,0.0017169439233839512,anger,0.03603054955601692,0.005957243964076042,0.02016044594347477,ninguna,0.9989349246025085,0.0010651088086888194,not ironic
abogadachilena_00005,abogadachilena,2025-12-02T18:06:34.000Z,82.0,5.0,,https://www.instagram.com/abogadachilena/reel/DRxT3seDqDz/,"Sofía tiene 9 años.
9 años esperando que el Estado la protegiera.
9 años en los que todos sabían… y nadie hizo nada.

Jueces, Oficina Local de la Niñez, OPD, DAM, PPF, Curador Ad Litem, Carabineros.
Todos están notificados.
Todos recibieron alertas,
Nadie actuó a tiempo...

Y mientras los informes describían “consumo problemático, daño emocional grave y riesgo para su integridad”,
Sofía seguía esperando.

No fue ingresada.
No fue evaluada.
Ningún seguimiento se cumplió, 

Esta historia está basada en antecedentes reales de una causa judicial vigente.
El nombre de la niña fue modificado para proteger su identidad.Sofía tiene 9 años.
9 años esperando que el Estado la protegiera.
9 años en los que todos sabían… y nadie hizo nada.

Jueces, Oficina Local de la Niñez, OPD, DAM, PPF, Curador Ad Litem, Carabineros.
Todos están notificados.
Todos recibieron alertas,
Nadie actuó a tiempo...

Y mientras los informes describían “consumo problemático, daño emocional grave y riesgo para su integridad”,
Sofía seguía esperando.

No fue ingresada.
No fue evaluada.
Ningún seguimiento se cumplió, 

Esta historia está basada en antecedentes reales de una causa judicial vigente.
El nombre de la niña fue modificado para proteger su identidad.  #VerdadesIncómodas #InfanciaOlvidada #AbogadaChilena #NiUnaSofíaMás #JusticiaParaLosNiños #DerechosDeLaInfancia #Chile",instagram_abogadachilena.csv,0.2191232591867447,0.0015026475302875042,0.3149120509624481,0.4047047197818756,0.004026239737868309,0.04958802089095116,0.006143094971776009,anger,0.07018421590328217,0.010092963464558125,0.03885873407125473,ninguna,0.9990038275718689,0.0009961557807400823,not ironic
abogadachilena_00006,abogadachilena,2025-12-02T14:27:49.000Z,174.0,19.0,,https://www.instagram.com/abogadachilena/reel/DRw6_cLDrg9/,"#LeyTocornal: 9 Años de Injusticia ⚖️
💔 Murió con la condena vigente, aunque la verdad ya se sabía.
🚫 Las denuncias falsas destruyen vidas y debilitan a las verdaderas víctimas. 📢 Por eso Chile exige:
#LeyTocornal 🧨
👉 Para sancionar con fuerza la denuncia falsa.
👉 Y proteger a los inocentes y a las víctimas reales.

#LeyTocornal #FalsasDenuncias #VerdadesIncómodas #abogadachilena #obstrucciónparental #pensióndealimentos #alienaciónparental #justiciachile",instagram_abogadachilena.csv,0.006529027596116066,0.000833930098451674,0.03269994631409645,0.8498967885971069,0.000380243785912171,0.10865546017885208,0.0010045134695246816,anger,0.0841323658823967,0.020406223833560944,0.06879660487174988,ninguna,0.9961525797843933,0.003847358049824834,not ironic
abogadachilena_00007,abogadachilena,2025-09-26T18:39:11.000Z,95.0,11.0,,https://www.instagram.com/abogadachilena/reel/DPE1zFCjup9/,"¿Qué hacer si se ocultan bienes e ingresos en un juicio de alimentos? 

🧾 La ley permite abrir el SECRETO BANCARIO 🔍 y revisar:
💳 movimientos bancarios
💼 declaraciones tributarias SII
✈️ viajes
📱 ¡hasta lo que presume en redes sociales!

#VerdadesIncómodas #AbogadaChilena
#JusticiaChile 
#PensiónDeAlimentos #DerechoDeFamilia",instagram_abogadachilena.csv,0.6947152018547058,0.0010619288077577949,0.008574853651225567,0.2419680505990982,0.02180137299001217,0.021467197686433792,0.010411415249109268,others,0.12315822392702103,0.016139108687639236,0.058620188385248184,ninguna,0.9946911931037903,0.005308728665113449,not ironic
abogadachilena_00008,abogadachilena,2025-09-24T16:37:07.000Z,36.0,1.0,,https://www.instagram.com/abogadachilena/reel/DO_eRALDkSz/,"Muchas hijas cargamos con frases que NO nos pertenecen:
👉 💔 “Todos los hombres son infieles.”
👉 😔 “Mejor sola que mal acompañada.”

⚠️ Palabras dichas por tu madre desde su dolor… que terminan siendo ⛓️ cadenas invisibles que CONDICIONAN cómo pensamos, sentimos y amamos.

⚖️ Como abogada de familia, he visto generaciones de mujeres repitiendo el mismo patrón❌ 

🌱 Pero tu historia NO tiene por qué ser la de tu madre.
💪 Romper con esa manipulación emocional es un acto de justicia contigo misma y con tus hijos.

✨ No repitas heridas que no son tuyas. ✨

#VerdadesIncómodas ⚖️ #AbogadaChilena #RompeElCírculo ⭕️ #DerechoDeFamilia #ObstrucciónParental 🚫#NoMásManipulación 🚫
#ViolenciaPsicológica 💔
#alienaciónparental 
#CrianzaConsciente",instagram_abogadachilena.csv,0.014301963150501251,0.0005429587909020483,0.925361692905426,0.04493333026766777,0.00034530635457485914,0.012820813804864883,0.001693934784270823,sadness,0.8111612796783447,0.016412653028964996,0.2171047031879425,hateful,0.9975504279136658,0.002449533436447382,not ironic
abogadachilena_00009,abogadachilena,2025-09-20T21:21:57.000Z,137.0,6.0,,https://www.instagram.com/abogadachilena/reel/DO1sNDrErZB/,"⚖️ Así empiezan muchas denuncias falsas…
✍️ Una simple declaración en Carabineros.
😱 Lo que parece un trámite menor…
⛓️ Se transforma en años de medidas cautelares injustas.
💔 El proceso se archiva… pero el daño ya está hecho.

#VerdadesIncómodas #DenunciasFalsas #DerechoDeFamilia
#JusticiaChile #InocenteHastaQueSePruebeLoContrario
#NoMásAbuso #BastaYa 🚨",instagram_abogadachilena.csv,0.05263720080256462,0.0009931783424690366,0.03361361846327782,0.8588568568229675,0.0021663897205144167,0.050280340015888214,0.0014523060526698828,anger,0.062032848596572876,0.008964003063738346,0.04060995951294899,ninguna,0.9862738251686096,0.013726172968745232,not ironic
