fecha,me_gusta,comentarios,visualizaciones,descripcion,link
2025-08-23T01:13:24.000Z,20,3,NA,"📌 ¿Necesitas una abogada que te escuche y te guíe?
Hablemos ahora:
📲 +56 989674662
📧 AbogadaOportus@gmail.com
#SolucionesLegales #AbogadaEnChile #abogadavaleriaoportus",https://www.instagram.com/mediandojusticia.cl/reel/DNrbxzT4vTi/
2025-12-30T11:04:30.000Z,12,0,NA,"Esto no es una discusión.
Es una amenaza.
Es chantaje económico.
Es usar a los hijos como castigo.

Cuando un padre o madre condiciona el divorcio, la pensión o el vínculo con sus hijos,
no estamos ante un conflicto personal,
estamos frente a violencia económica, psicológica y obstrucción del vínculo parental.

Los hijos no son moneda de cambio.
El vínculo no se negocia bajo amenaza.
El interés superior del niño no se suspende por rabia.

Abogada Valeria Oportus

#DerechoDeFamilia
#ViolenciaEconómica
#ViolenciaPsicológica
#ObstrucciónParental
#abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DS4p4NEjskP/
2025-12-31T19:17:48.000Z,19,0,NA,"Detrás de cada causa hay personas reales.
Familias.
Niños y niñas que no eligieron el conflicto.

Cerrar un año también es una oportunidad para revisar cómo ejercemos nuestras decisiones, especialmente cuando involucran a otros.

Que este nuevo año nos invite a actuar con conciencia, ética y responsabilidad, priorizando soluciones que cuiden, reparen y eviten daños innecesarios.

Porque el Derecho no se trata solo de ganar,
sino de hacerse cargo.

Abogada Valeria Oportus

#Conciencia
#Ética
#abogadavaleriaoportus 
#añonuevo2026 
#InfanciaPrimero",https://www.instagram.com/abogadavaleriaoportus/reel/DS8HG9BERP4/
2025-12-31T03:42:25.000Z,37,5,NA,"Un día como hoy juré ante la Corte Suprema y recibí mi título de Abogada.

Detrás de ese momento hay años de sacrificio que no siempre se ven: noches sin dormir, jornadas completas de trabajo, estudios de noche y una vida que exigía seguir adelante cuando el cansancio pesaba más que todo. Ya era mamá, con un papá ausente, y eso hizo el camino mucho más difícil… pero también más profundo, más real y más significativo.

Nada fue fácil. Cada paso se construyó con esfuerzo, con renuncias, con miedo y con una convicción que nunca se quebró. Hubo días en que sostuve sola lo que debía ser compartido, y aun así no me detuve. Hoy miro hacia atrás y me levanto con un orgullo inmenso, no solo por el título, sino por la mujer y la madre que fue capaz de sostenerlo todo y no rendirse.

Este logro no es solo profesional. Es una historia de perseverancia, de amor incondicional, de coraje y de dignidad. Es la prueba de que, incluso cuando el camino se recorre sola, cuando la carga es desigual y el apoyo falta, igual se puede llegar lejos sin soltar lo que somos ni a quienes amamos.

#AbogadaValeriaOportus
#CorteSuprema
#juramentoabogada",https://www.instagram.com/abogadavaleriaoportus/reel/DS6cFKGjnY5/
2025-12-30T02:42:46.000Z,25,2,NA,"El Juzgado de Familia de Pudahuel autorizó el viaje al extranjero de una niña, pese a la negativa del padre, considerando un antecedente clave:
una deuda superior a $11 millones en pensión de alimentos.

Cuando un progenitor incumple de forma grave y reiterada sus obligaciones, no puede usar su negativa como herramienta de control.
La justicia debe —y en este caso lo hizo— priorizar el bienestar, la estabilidad y los derechos de niños y niñas.

Abogada Valeria Oportus

#DerechoDeFamilia
#InteresSuperiorDelNiño
#PensiónDeAlimentos
#ResponsabilidadParental
#abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DS3whjNjieR/
2025-12-29T01:51:55.000Z,18,0,NA,Así con las locas #abogadavaleriaoportus,https://www.instagram.com/abogadavaleriaoportus/reel/DS1F7_jjheE/
2025-12-28T22:35:08.000Z,9,0,NA,"La violencia no comienza con los golpes.
Empieza cuando se normaliza el control, la humillación, los celos y el miedo.

Reconocer las señales a tiempo puede salvar vidas.
El violentómetro permite identificar la escalada de la violencia y entender que ninguna conducta violenta es menor.

Vivir sin violencia es un derecho humano, no un privilegio.

Abogada Valeria Oportus

#Violentómetro
#VivirSinViolencia
#ViolenciaDeGénero
#abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DS0vaMhEVdI/
2025-12-28T20:53:52.000Z,19,2,NA,"Las medidas cautelares son excepcionales, no castigos anticipados.
Cuando se prolongan sin sentencia firme ni prueba suficiente, el daño no es abstracto: lo viven los niños.

El debido proceso no es un formalismo.
El interés superior del niño no es un eslogan.
Separar un vínculo parental exige fundamento, proporcionalidad y control judicial real.

Abogada Valeria Oportus

#DerechoDeFamilia
#TribunalesDeFamilia
#InterésSuperiorDelNiño
#DebidoProceso
#abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DS0j2Ljkba9/
2025-12-28T20:48:42.000Z,5,0,NA,"Separar a una madre o a un padre de su hija o hijo no puede ser una reacción automática ni una sanción encubierta.
Es una medida extrema que exige fundamento serio, proporcionalidad y una justificación estricta, siempre desde el interés superior del niño.

Las decisiones judiciales también construyen o destruyen vínculos. Por eso, deben adoptarse con máxima responsabilidad.

#DerechoDeFamilia #InterésSuperiorDelNiño #VínculoFamiliar #abogadavaleriaoportus #InfanciaProtegida",https://www.instagram.com/abogadavaleriaoportus/reel/DS0jNOLEcVw/
2025-12-28T13:47:56.000Z,8,0,NA,"El amor parental no se proclama:
se prueba en la presencia, en la responsabilidad
y en no fallar cuando más se necesita.

Porque en Derecho de Familia —y en la vida—
los hechos siempre pesan más que las palabras.

Abogada Valeria Oportus

#DerechoDeFamilia #ResponsabilidadParental #InterésSuperiorDelNiño #abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DSzzD6UDl74/
2025-12-28T02:04:33.000Z,9,0,NA,"La formación continua no es un plus: es un deber cuando se trabaja con infancia.
Derechos de niños, niñas y adolescentes, con enfoque de derechos humanos y responsabilidad jurídica.

#DerechosDeLaNiñez #DerechosHumanos #FormaciónContinua #abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DSyimx_Dk14/
2025-12-28T00:49:40.000Z,1,0,NA,"La violencia de género no empieza con golpes.
Empieza con el miedo, el control y el silencio de quienes miran y no hacen nada.
No es un problema de pareja. Es un problema de seguridad pública.

#ViolenciaDeGénero
#ViolenciaPsicológica
#abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DSyZ_R8EWMP/
2025-12-28T00:12:19.000Z,7,0,NA,"No toda violencia deja marcas visibles.
Controlar, aislar, invalidar o hacerte dudar de ti misma también es violencia de género.
Si alguien decide por ti, revisa tus mensajes o te hace sentir culpable por vivir tu vida, no es amor ni cuidado: es control.
Reconocerlo es el primer paso para salir.

#ViolenciaPsicológica #ViolenciaDeGénero #NoEsAmorEsControl #ControlNoEsCuidado #abogadavaleriaoportus",https://www.instagram.com/abogadavaleriaoportus/reel/DSyVt4xkeqj/
2025-12-27T22:26:46.000Z,3,0,NA,"Nada de lo que se escribe queda en el aire.
Mensajes, audios, silencios e indirectas también hablan…
y en un proceso judicial, todo puede transformarse en prueba.

#DerechoDeFamilia #PruebaDigital #abogadavaleriaoportus #Audios #Mensajes",https://www.instagram.com/abogadavaleriaoportus/reel/DSyJpXskbTU/
